反照率 Albedo
椭圆中心指数 EllipseCenterExp
屏幕空间效果锚点 ScreenSpaceEffectAnchor
底部颜色 ColorBottom
相机最后投影 CameraLastProjection
使用手动ID UseManualId
距离倍数 DistMult
网格粒子ID MeshParticleId
自发光启用遮罩 EmissiveEnabledMask
偏移距离 OffsetDistance
行星位置 PlanetPositions
最小镜面皮下 MinSpecularSubdermal
Ynufpf Ynufpf
高度 Height
使用LUT UseLut
主材质有法线MR PrimaryMaterialHasNormalMr
虹膜密度 IrisDensity
采样查找 SampIesLookup
纹理风化污垢 TexWeatheringDirt
无Alpha NoAlpha
LUT指数 LutExp
采样纹理遮罩 SampTexMask
底光衰减指数 UnderlightFadeExp
采样企业颜色粗糙度LUT SampCorporateColorRoughnessLut
使用顶点颜色 UseVetexcolor
采样小地图路线 SampMinimapRoutes
亮度最大 LumMax
CDrop选择 CDropSelect
速度气泡 SpeedBubbles
顶部淡出 TopFade
纹理覆盖纹理贴图 TexOverlayTextureMap
远距离淡出 FarFade
虹膜锐度 IrisSharpness
正弦频率 SinFreq
纹理血液LUT TexBloodLut
最小粗糙度 MinRoughness
采样三平面细节反照率 SampTriplanarDetailAlbedo
捏合末端 PinchEnds
是光束 IsBeam
纹理虫子飞溅平铺器 TexBugSplatterTiler
Cs相机视图投影 CsCameraViewProj
纹理灰度皮肤 TexGrayscaleSkin
火焰颜色 FireColor
纹理平铺 TextureTiling
玻璃镜面 GlassSpecular
CCloud起止 CCloudStartStop
纹理地形位移贴图 TexTerrainDisplacementMap
燃烧柔和度 BurnSoftness
地形属性Mip TerrainPropertiesMip
扭曲强度 DistortionIntensity
远距离淡出不透明度 FarFadeOpacity
纹理纹理LUT TexTextureLut
采样Bh噪声 SampBhNoise
纹理雪Pnrb数组 TexSnowPnrbArray
次要颜色 SecondaryColor
天气效果颜色 WeatherEffectColor
R偏移最大 ROffsetMax
循环动画 LoopAnimation
内孔衰减 InnerHoleFalloff
纹理反照率混合 TexAlbedoBlend
纹理表面数据 TexSurfaceData
相机最后逆投影 CameraLastInvProjection
粗糙度图案 RoughnessPattern
速度倍数 SpeedMult
正弦噪声指数 SinNoiseExp
纹理噪声数组 TexNoiseArray
法线遮罩最大 NormalMaskMax
次表面曲线 SubsurfaceCurve
采样网格纹理贴图 SampGridTextureMap
不透明度边缘 OpacityRim
纹理生成路线距离 TexGeneratedRouteDistance
BOffset主控 BOffsetMaster
采样植被弯曲 SampVegetationBending
指数倍数 ExpMult
绒毛强度 FuzzIntensiy
采样虹膜平铺器 SampIrisTiler
烟雾颜色 SmokeColor
光盒最小 LightBoxMin
采样闪烁纹理 SampFlickerTex
气泡不透明度 BubbleOpacity
Cs光源索引缓冲 CsLightIndexBuffer
准星颜色强度 ReticleColorIntensity
深度淡出距离远 DepthFadeDistanceFar
是否过热 IsOverheat
外部镜面 OutSpecular
采样雪Pnrb数组 SampSnowPnrbArray
叶子色调 LeafTint
虹膜斑点密度 IrisSpotsDensity
纹理是否为黑白 TextureIsBlackwhite
纹理局部光源阴影图集 TexLocalLightsShadowAtlas
纹理阻挡遮罩目标 TexBlockerMaskTarget
虹膜图案曲线 IrisPatternCurve
无纹理虹膜强度 IriIntensityTextureless
摆动速度 WobbleSpeed
尖端倍数 TipMult
缩放距离 ScaleDistance
屏幕矩形 ScreenRect
原始非棋盘目标尺寸 RawNonCheckerboardedTargetSize
远距离缩放 FarScale
内部倍数指数 InnerMultExp
顶部淡出收紧 TopFadeTighten
采样烧痕 SampScorchMarks
过载强度 OverloadIntesity
纹理颜色色调遮罩贴图 TexColorTintMaskMap
雾启用 FogEnabled
Cs光源阴影矩阵缓冲 CsLightShadowMatricesBuffer
采样Msdf纹理 SampMsdfTexture
采样法线 SampNormals
从遮罩获取孔隙度 PorocityFromMask
采样覆盖反照率 SampCoveringAlbedo
纹理小地图金属次表面粗糙度镜面 TexMinimapMetallicSubsurfaceRoughnessSpecular
纹理自发光行星 TexEmissivePlanet
追踪盒最大 TraceBoxMax
纹理地面Nar TexGroundNar
BFreq BFreq
实际光源 ActualLight
内孔半径 InnerHoleRadius
纹理金属表面数据 TexMetalSurfaceData
污垢风化量 WeatheringOnDirtAmount
采样阴影小地图高度图 SampShadowMinimapHeightmap
角度淡出范围 AngleFadeRange
后正弦指数 PostSineExp
触手摆动指数 TentacleWiggleExp
角度淡出倍数 AngleFadeMult
淡出距离 FadeDist
纹理大陆LUT TexContinentsLut
强度 Strength
椭圆颜色倍数 EllipseColorMult
泥浆高度 MudHeight
Sv实例ID SvInstanceid
近距离淡出 NearFade
单通道反照率 SingleChannelAlbedo
采样体积云阴影最终 SampVolumetricCloudsShadowsFinal
采样输入纹理 SampInputTexture
波浪速度 WaveSpeed
屏幕空间偏移 ScreenspaceOffset
带状年龄生命偏移 RibbonAgeLifeOffset
淡出收紧 FadeAwayTighten
纹理反照率数组 TexAlbedoArray
采样地形踩踏 SampTerrainTrample
全局视口 GlobalViewport
距离纹理速度 DistTexSpeed
自身数据 SelfData
采样风化反照率 SampWeatheringAlbedo
场景遮罩向后不透明度 ScenarioMaskBackwardOpacity
采样UI漫反射立方体贴图 SampUiDiffuseCubemap
光照数据 LightingData
速度噪声 SpeedNoise
纹理自发光包 TexEmissivePack
Shexhu Shexhu
全息Ds太阳颜色 HologramDsSunColor
采样位移贴图 SampDisplacementMap
菲涅耳内部 FresnelInner
采样粗糙度贴图 SampRoughnessMap
全息行星位置 HologramPlanetPositions
后正弦倍数 PostSineMult
细节通道 DetailChannel
颜色指数 ColorExp
纹理偏移 TexOffset
采样背景纹理 SampBackgroundTexture
纹理法线XY粗糙度不透明度 TexNormalXyRoughnessOpacity
Plx缩放 PlxScale
纹理漫反射贴图 TexDiffuseMap
雪次表面扩散 SnowSubsurfaceDiffusion
采样风化特殊 SampWeatheringSpecial
磨损反照率强度 WearAbledoStrength
虹膜颜色变化斑点 IrisColorVariationSpots
采样生成高度图 SampGeneratedHeightmap
距离平铺 DistTiling
亮度最小重映射 LumMinRemap
镜面混合 SpecularMix
加速曲线 AccelCurve
使用镜面彩虹色贴图 UseSpecIridescenceMap
纹理全息圆柱纹理贴图 TexHologramCylinderTextureMap
纹理场景覆盖纹理 TexScenarioOverlayTexture
自发光度 Emissiveness
采样金属贴图 SampMetallicMap
采样雪闪平铺器 SampSnowGlintsTiler
纹理背景纹理 TexBackgroundTexture
生命周期指数 LifetimeExp
采样前房高度图 SampAnteriorChamberHeightmap
噪声指数曲线结束 NoiseExpCurveEnd
纹理地面反照率 TexGroundAlbedo
采样噪声纹理 SampNoiseTexture
采样UI纹理 SampUiTexture
法线强度 NormalStr
光溢出量 LightBleedAmount
采样基础法线AO SampBaseNormalAo
Imp贴图 ImpMap
采样材质平铺器 SampMaterialTiler
纹理UI纹理 TexUiTexture
反照率颜色强度 AlbedoColorIntensity
纹理侵蚀纹理 TexErodeTex
纹理光溢出贴图 TexLightBleedMap
纹理粗糙度贴图 TexRoughnessMap
凸起UV BulgeUvs
漩涡偏移 SwirlOffset
采样表面数据 SampSurfaceData
最小亮度 MinLum
云高度倍数 CloudHeightMult
全局尺寸倍数 GlobalSizeMult
距离纹理平铺 DistTexTile
镜头不透明度乘数 LensOpacityMul
集群着色数据 ClusteredShadingData
法线是Nar NormIsNar
纹理纹理贴图 TexTextureMap
风化分级索引 WeatheringGradingIndex
纹理雾体积斑点纹理 TexFogVolumeBlobTexture
血液覆盖量向后 BloodOverlayAmountBackward
Lsxdou Lsxdou
全息上下边界淡出 HologramLowerUpperBoundsFade
能量指数最大 EnergyExpMax
纹理自定义材质细节平铺器数组 TexCustomizationMaterialDetailTilerArray
自发光功率 EmissivePower
边缘遮罩最大 EdgeMaskMax
纹理基础地图高地 TexBasemapHighlands
纹理颜色LUT TexColorLut
细节曲率强度瓷器 DetailCurvIntensityPorcelain
采样天空穹顶贴图 SampSkydomeMap
生命周期指数 LifeExp
纹理大陆纹理贴图 TexContinentsTextureMap
逆视图投影 InvViewProj
雪次表面颜色 SnowSubsurfaceColor
更好距离缩放 BetterDistanceScale
雾太阳强度 FogSunIntensity
场景遮罩右侧不透明度 ScenarioMaskRightOpacity
主颜色变化Alpha通道 PrimaryColorVariationAlphaChannel
采样钳位线性 SampClampLinear
外部粗糙度 OutRoughness
滚动距离 ScrollDistance
伪影量 ArtifactsAmount
采样Nar纹理 SampNarTex
底部淡出 BottomFade
调试阴影LOD DebugShadowLod
采样基础颜色金属贴图 SampBaseColorMetalMap
纹理风化数据遮罩 TexWeatheringDataMask
纹理颜色变化遮罩 TexColorVariationMask
漩涡中心 SwirlCenter
远距离淡出距离 FarFadeDist
摆动轴 WiggleAxis
纹理披风渐变 TexCapeGradient
淡出远 FadeFar
纹理玩家卡纹理 TexPlayercardTexture
颜色变化蓝色通道 ColorVariationBlueChannel
减去Alpha SubtractAlpha
椭圆损伤覆盖 EllipseDamageOverride
正弦顶点平铺 SineVertexTile
镜面基础 SpecularBase
相机位置 CameraPos
纹理准星纹理 TexReticleTexture
翼高度 WingHeight
纹理自定义迷彩平铺器数组 TexCustomizationCamoTilerArray
纹理法线镜面AO TexNormalSpecularAo
充能渐变 ChargeGradient
采样反照率数组 SampAlbedoArray
截止结束 CutoffEnd
采样远景细节反照率 SampVistaDetailAlbedo
纹理镜头剪裁纹理 TexLensCutoutTexture
火焰强度 FireIntensity
采样高度噪声 SampHeightNoise
采样三平面细节数据 SampTriplanarDetailData
纹理Msdf纹理 TexMsdfTexture
纹理小地图法线湿度 TexMinimapNormalWetness
纹理体积云颜色 TexVolumetricCloudsColor
Shexhz Shexhz
衰减 Falloff
生命周期颜色 ColorOverLife
纹理视差贴图 TexParallaxMap
采样法线不透明度 SampNormalOpacity
椭圆中心遮罩形状 EllipseCenterMaskShape
纹理调查二维码 TexSurveyQrCode
第三颜色 TertiaryColor
镜头自发光不透明度 LensEmissiveOpacity
中心暗低 CenterDarkLow
磨损平铺 WearTile
覆盖高度遮罩淡出 OverlayHeightMaskFade
地形插值 TerrainLerp
灰度纹理 GreyscaleTex
纹理覆盖纹理 TexOverlayTexture
纹理烧痕 TexScorchMarks
纹理Nar TexNar
最小尺寸 MinSize
原始非棋盘视口 RawNonCheckerboardedViewport
视差高度 ParallaxHeight
雾尘度 FogDustiness
颜色变化Alpha通道 ColorVariationAlphaChannel
图形线厚度 GraphLineThickness
淡出末端 FadeEnds
采样地面反照率 SampGroundAlbedo
采样自发光遮罩 SampEmissiveMask
采样生成高度图F SampGeneratedHeightmapF
时间倍数 TimeMult
纹理伤口数据 TexWoundData
副法线 Binormal
纹理平铺器数组 TexTilerArray
内部地图不透明度选择 DropSelectInsideMapOpacity
纹理Mrae TexMrae
使用旋转器 UseRotator
最小缩放 MinScale
纹理次要材质遮罩 TexSecondaryMaterialMask
耀斑强度 FlareIntensity
纹理基础法线AO TexBaseNormalAo
纹理体积云阴影最终 TexVolumetricCloudsShadowsFinal
捏合UV PinchUvs
拍打速度 FlapSpeed
忽略纹理 IgnoreTextures
随机法线强度 RndNrmStrength
插值距离 LerpDistance
噪声强度 NoiseStr
纹理BRDF LUT TexBrdfLut
采样血液飞溅平铺器 SampBloodSplatterTiler
次表面强度开始 SssIntensityStart
风化污垢量 WeatheringDirtAmount
插值两种颜色 LerpTwoColors
采样光探针空间镜面 SampLightProbeSpaceSpecular
路线不透明度 RouteOpacity
雾前向散射相位 FogForwardscatterPhase
采样扭曲贴图 SampDistortionMap
粗糙度最大 RoughnessMax
淡出距离 FadeDistance
火焰颜色强烈 FireColorIntense
采样大气散射颜色 SampAtmosphericScatteringColor
Fps计数器 FpsCounterdude
采样反照率混合纹理 SampAlbedoBlendTex
相机非投影 CameraUnprojection
次要颜色变化绿色通道 SecondaryColorVariationGreenChannel
翻转渐变遮罩 FlipGradientMask
角度淡出指数 AngleFadeExponent
纹理Nac TexNac
耀斑纹理指数 FlareTexExp
雪次表面包裹 SnowSubsurfaceWrap
风化覆盖功率 WeatheringCoveragePower
采样基础遮罩 SampBaseMask
采样法线 SampNormal
纹理光探针空间镜面 TexLightProbeSpaceSpecular
淡出开始 FadeStart
AO颜色 AoColor
彩虹色结束 IridescenceEnd
噪声菲涅耳中心 NoiseFresnelCenter
纹理风化特殊 TexWeatheringSpecial
虹膜次表面强度 IrisSssIntensity
静脉颜色 ViensColor
采样颜色贴图 SampColorMap
纹理主材质遮罩 TexPrimaryMaterialMask
厚度 Thickness
调试渲染 DebugRendering
正弦内部宽度 SinusInnerWidth
正弦色调 SinusTint
皮下法线平滑 SubdermalNormalSmoothen
基础颜色倍数 BaseColorMult
纹理月亮LUT TexMoonLut
纹理扭曲贴图 TexDistortionMap
图案值色调 PatternValueTint
采样自发光颜色 SampEmissiveColor
时间偏移 TimeOffset
纹理细节 TexDetail
纹理细节法线 TexDetailNormals
内部辉光衰减指数 InnerGlowFadeExp
雾阴影强度 FogShadowIntensity
绒毛镜面 FuzzSpeculer
光点角度开始 LightSpotAngleStart
正弦强度 SinusIntensity
纹理纹理贴图漩涡 TexTextureMapVortex
采样风化Nar SampWeatheringNar
使用距离淡出 UseDistFade
内部辉光淡出 InnerGlowFade
相机中心位置 CameraCenterPos
Cs集群数据大小 CsClusterDataSize
最终不透明度倍数 FinalOpacityMult
星云颜色 NebulaColor
纹理飞船中心镜面数组 TexShipHubSpecularArray
纹理反照率自发光 TexAlbedoEmissive
次表面色调 SssTint
纹理线性深度 TexLinearDepth
纹理虹膜平铺器 TexIrisTiler
采样扭曲纹理 SampDistortionTex
风化污垢功率 WeatheringDirtPower
亮度重映射最小 LumRemapMin
使用顶点AO UseVertexao
截止 Cutoff
纹理耀斑噪声 TexFlareNoise
采样法线XY粗糙度不透明度 SampNormalXyRoughnessOpacity
纹理自发光贴图 TexEmissiveMap
GFreq GFreq
采样玻璃数据 SampGlassData
近距离不透明度 NearOpacity
采样反照率 SampAlbedo
CRibbon数据偏移 CRibbonDataOffset
身体频率 BodyFreq
最大缩放 MaxScale
金属度 Metallic
Cs集群缓冲 CsClusterBuffer
纹理血液飞溅平铺器 TexBloodSplatterTiler
菲涅耳指数结束 FresnelExpEnd
纹理颜色粗糙度查找表 TexColorRoughnessLut
纹理不透明度裁剪贴图 TexOpacityClipMap
雪指数 SnowIndex
侵蚀柔和度 ErosionSoftness
阴影旋转 ShadowRotation
身体速度 BodySpeed
减法倍增 SubtractMult
雪量 CSnow
UV收缩添加 UvPinchAdd
UV收缩倍增 UvPinchMult
UV收缩最大值 UvPinchMax
树木半径 TreeRadius
边界最小值 BoundingMin
视口渲染分辨率 VpRenderResolution
纹理徽章翻页动画 TexBadgeFlipbook
下拉选择网格厚度 DropSelectGridThickness
血液覆盖量前向 BloodOverlayAmountForward
侵蚀最小添加 ErodeMinAdd
最后风状态 LastWindState
噪声指数最大值 NoiseExpMax
亮度最大值 LuminocityMax
场景覆盖量后向 ScenarioOverlayAmountBackward
布料细节粗糙度权重 ClothDetailRoughnessWeight
纹理全局高光贴图 TexGlobalSpecularMap
纹理屏幕视频纹理Y TexScreenVideoTextureY
血液遮罩淡出距离 BloodMaskFadeDistance
能量指数最小值 EnergyExpMin
纹理渐变贴图 TexGradientMap
血液遮罩右侧高度 BloodMaskRightHeight
高光值 SpecularVal
主波偏移 MainWaveOffset
广告牌量 CBillboard
细节最小值 DetailMin
采样噪声纹理 SampNoiseTex
灯光盒最大值 LightBoxMax
面朝上混合 FaceUpBlend
底部宽度 BottomWidth
菲涅耳幂 FresnelPow
采样伤口数据 SampWoundData
点倍增 DotsMult
下拉选择网格侧边环绕 DropSelectGridSideWrap
场景覆盖量向下 ScenarioOverlayAmountDown
调试视图 DebugVieew
行星大气行星位置 PlanetAtmospherePlanetPosition
可见性遮罩 VisibilityMask
集群像素尺寸 CsClusterSizeInPixels
低高光 SpecularLow
次表面厚度 SssThickness
采样体积云颜色 SampVolumetricCloudsColor
增厚 Thicken
采样风噪声 SampWindNoise
结束淡出最小值 EndFadeMin
法线 Normal
高光倍增 SpecMult
纹理清漆法线XY强度粗糙度贴图 TexClearcoatNormXyIntensityRoughnessMap
自发光开关 EmissiveToggle
下拉选择外部贴图线插值 DropSelectOutsideMapLineLerp
内部遮罩量 InnerMaskAmount
纹理企业颜色粗糙度查找表 TexCorporateColorRoughnessLut
归零距离 ZeroingDist
采样基础法线AO次表面 SampBaseNormalAoSubsurface
淡出距离分割 FadeDistDivide
采样自发光行星 SampEmissivePlanet
皮肤矩阵 CSkinMatrices
湿润高度不透明度 WetnessHeightOpacity
高光边缘 SpecularRim
虹膜结束 IriEnd
相机最后逆视图 CameraLastInvView
磨损量 WearAmount
风法线强度 WindNormalsIntesity
次表面强度最小值 SubsurfaceIntensityMin
敌人存在条纹计数 EnemyPresenceStripesCount
轮廓距离 OutlineDistance
采样立方体贴图 SampCubemap
翅膀频率 WingFreq
全息分离网格 HologramSeparateGrid
通道 Channel
主波频率 MainWaveFreq
资产分级插值 AssetGradingLerp
采样高度图 SampHmap
主颜色 ColorMain
纹理UI视频纹理B TexUiVideoTextureB
法线贴图量 NormalMapAmount
雪闪量 SnowGlintAmount
LOD距离倍增器 LodDistanceMultiplier
纹理世界遮罩 TexWorldmask
SV深度 SvDepth
添加摆动 AddWobble
场景遮罩左侧高度 ScenarioMaskLeftHeight
纹理气泡贴图 TexBubbleTex
六边形纹理 Shextc
运动曲线 MovementCurve
广告牌起始距离 BillboardStartDistance
颜色最大值 ColorMax
采样覆盖纹理 SampOverlayTexture
全息覆盖颜色 HologramOverlayColor
纹理遮罩贴图 TexMaskTex
帧数 Frames
纹理材质贴图 TexMaterialMap
基础颜色自发光强度 BasecoloremissiveIntensity
使用颜色贴图 UseColorMap
风化覆盖量 WeatheringCoverageAmount
纹理披风撕裂 TexCapeTear
软侵蚀 SoftErode
帧数 NumFrames
纹理银河尘埃 TexGalaxyDust
相交指数 InteresectExp
使用双色 UseTwoColors
UV空间方向 UvspaceDirection
全息行星环境颜色 HologramPlanetAmbientColor
雾光环境强度 FogLightAmbientIntensity
纹理阴影小地图高度图 TexShadowMinimapHeightmap
采样生成小地图 SampGeneratedMinimap
镜头颜色 LensColor
撕裂量 TornAmount
纹理生成高度图属性 TexGeneratedHeightmapProperties
雪闪大小 SnowGlintSize
采样LUT自发光 SampLutEmissive
纹理为灰度 TextureIsGreyscale
燃烧强度 BurnIntensity
反转过程遮罩 InvertProcMask
噪声指数曲线 NoiseExpCurve
纹理道路数据条 TexRoadDataStrip
纹理世界覆盖纹理 TexWorldOverlayTexture
围栏偏移 FenceOffset
使用AO贴图 UseAoMap
相机最后视图投影 CameraLastViewProjection
纹理照明数据 TexIlluminateData
侵蚀最大值 ErodeMax
瞳孔锐度 PupilSharpness
顶点偏移脉冲 VertexOffsetPulse
泥浆淡出距离 MudFadeDistance
血液遮罩左侧不透明度 BloodMaskLeftOpacity
纹理速度 TexSpeed
纹理法线贴图 TexNormalMap
击中强度 HitIntensity
纹理风噪声 TexWindNoise
纹理Nar贴图 TexNarTex
身体高度 BodyHeight
深度法线散射权重 DepthNormalScatterWeight
风向 WindDirection
主波速度 MainWaveSpeed
纹理Nar纹理 TexNarTexture
纹理运动向量 TexMotionVectors
纹理不透明度指数 TexOpacityExp
纹理颜色变化法线 TexColorVariationNormal
收缩最小值 PinchMin
带状顶点步长 RibbonVertexStride
Nar平铺 NarTiling
纹理细节数据 TexDetailData
纹理瞳孔法线 TexPupilNormal
颜色变化绿色通道 ColorVariationGreenChannel
数据偏移最后 BdataOffsetLast
帧编号 FrameNumber
采样生成路线距离 SampGeneratedRouteDistance
下拉选择网格大小 DropSelectGridSize
滑块 Slider
全局缩放 GlobalScale
帧色调 FrameTint
纹理血液平铺器 TexBloodTiler
纹理偏移平铺 TexOffsetTile
泥浆覆盖高度遮罩最大不透明度 MudOverlayHeightMaskMaxOpacity
纹理天空穹顶贴图 TexSkydomeMap
纹理深度模板缓冲 TexDepthStencilBuffer
六边形低 Shexlo
次表面颜色 SssColor
遮罩通道 MaskChannel
采样生成高度图属性高度 SampGeneratedHeightmapPropertiesHeight
锥体改变颜色 ConeAlterColor
大气查找 AtmosphericLookup
采样数据纹理 SampDataTexture
巩膜颜色 ScleraColor
最大次表面不透明度 MaxSubsurfaceOpacity
色调映射D TonemapD
顶点偏移脉冲速度 VertexOffsetPulseSpeed
太阳颜色 SunColor
反照率颜色变化 AlbedoColorVariation
最大倍增 MaxMult
开始发光最小值 StartGlowMin
镜头遮挡大小 LensOcclusionSize
米氏高度 MieHeight
尾部频率 TailFreq
纹理太阳阴影贴图 TexSunShadowMap
距离强度淡出 DistanceIntensityFade
插值粒子颜色 LerpParticleColor
采样全息圆柱纹理贴图 SampHologramCylinderTextureMap
远不透明度 FarOpacity
径向UV边缘遮罩指数 RadialUvEdgeMaskExp
正弦频率 SineFreq
不透明度倍增器 OpacityMultiplier
阈值起始值 ThresholdStartValue
泥浆覆盖高度遮罩 MudOverlayHeightMask
纹理基础遮罩 TexBaseMask
后期效果启用 PostEffectsEnabled
六边形XD Shexxd
屏幕启用 ScreenEnabled
纹理细节遮罩 TexDetailMask
血液遮罩前向高度 BloodMaskForwardHeight
行星位置大小 PlanetPositionSize
向上菲涅耳 UpFresnel
可见性索引 VisibilityIndex
采样纹理 SampTex
通道选择器 ChannelPicker
雾参数 FogParameters
纹理反照率标志 TexAlbedoFlag
不透明度幂 OpacityPower
污垢拉伸 DirtStretch
使用翻页动画混合 UseFlipbookBlending
燃烧颜色 BurnColor
采样损伤平铺数据 SampDamageTilerData
动画 Animated
采样生成全局着色器输入 SampGeneratedGlobalShaderInput
风化污垢细节 WeatheringDirtDetailing
采样飞船视频纹理Y SampShipVideoTextureY
采样地球大陆 SampEarthContinents
纹理生成全局着色器输入 TexGeneratedGlobalShaderInput
输入值 InputValue
米氏贝塔 MieBeta
采样深度模板缓冲 SampDepthStencilBuffer
次表面渐变 SssGradient
使用数据纹理 UseDataTex
采样贴花表 SampDecalSheet
亮度最小值 LuminocityMin
纹理Nac TexNac
执行闪光 DoFlash
淡出近相机 FadeNearCamera
雪绒毛颜色 SnowFuzzColor
纹理UI漫反射立方体贴图 TexUiDiffuseCubemap
采样颜色LUT SampColorLut
采样基础法线AO污垢 SampBaseNormalAoDirt
纹理装饰贴花 TexTrimDecal
采样自发光遮罩 SampEmissivemask
纹理图形积分纹理 TexGraphIntegralTexture
纹理散射密度贴图 TexScatterDensityMap
标量场不透明度锐度 ScalarfieldOpacitySharpness
采样污垢贴图 SampDirtMap
血液遮罩后向高度 BloodMaskBackwardHeight
翻转U FlipU
扭曲强度 DistortionStrength
纹理平移速度 TexturePanningSpeed
照明点平铺 IlluminateDotsTile
主要材质颜色 PrimaryMaterialColor
使用图集 UseAtlas
纹理反照率贴图 TexAlbedoTex
次要颜色变化粗糙度混合 SecondaryColorVariationRoughnessBlend
纹理基础地图低地 TexBasemapLowlands
采样基础颜色 SampBaseColor
纹理偏移速度 TexOffsetSpeed
AO最小值 AoMin
使用距离缩放 UseDistScale
采样飞船中心高光阵列 SampShipHubSpecularArray
纹理撕裂贴图 TexTearMap
血液覆盖粗糙度 BloodOverlayRoughness
加宽结束 WidenEnd
采样生成水替换查找 SampGeneratedWaterReplaceLookup
纹理主要材质反照率 TexPrimaryMaterialAlbedo
闪烁颜色 FlickerColor
太阳启用 SunEnabled
采样SDF SampSdf
菲涅耳外部 FresnelOuter
顶部指数 TopExp
光强度 LightIntensity
纹理闪光采样 TexGlintSample
椭圆中心遮罩 EllipseCenterMask
采样图案遮罩阵列 SampPatternMasksArray
下拉选择轮廓边框宽度 DropSelectOutlineBorderWidth
采样量 SampleAmount
纹理地球大陆 TexEarthContinents
污垢量 DirtAmount
雪高光 SnowSpecular
纹理图案遮罩阵列 TexPatternMasksArray
泥浆不透明度 MudOpacity
纹理IES查找 TexIesLookup
纹理远景细节反照率 TexVistaDetailAlbedo
采样颜色色调查找 SampColorTintLookup
采样偏移纹理 SampOffsetTexture
暗化低 DarkenLow
遮罩平滑步最大值 MaskSmoothstepMax
使用LUT颜色 UseLutColor
颜色倍增 ColorMult
顶点偏移附加 VertexOffsetAdditional
纹理闭路电视画面 TexCctvFeed
纹理血液标量场 TexBloodScalarField
血液遮罩左侧高度 BloodMaskLeftHeight
纹理瞳孔高度图 TexPupilHeightmap
采样生成高度图坡度 SampGeneratedHeightmapSlope
粗糙度边缘 RoughnessRim
星云强度 NebulaInt
六边形Z Shextz
下拉选择网格AO曲线 DropSelectGridAoCurve
使用顶点颜色通道选择器 UseVertexColorChannelPicker
纹理MRA TexMra
六边形LA Shexla
循环圆形 CirclularLoop
亮度低 LuminLow
粗糙度曲率 RoughnessCuravture
采样平铺阵列 SampTilerArray
边缘发光强度 EdgeGlowIntensity
底部指数 BottomExp
翻页列数 FlipbookColumns
每实例 CPerInstance
粗糙度调整 RoughnessTweak
次表面扩散 SssDiffusion
视差高度中心 PlxHeightCenter
血液覆盖量右侧 BloodOverlayAmountRight
遮罩强度 Maskstrength
采样反射贴图 SampReflectionMap
发光倍增器 GlowMultiplier
SV是正面 SvIsfrontface
纹理披风标量场 TexCapeScalarFields
标尺缩放 ReticuleScale
自发光增强 EmissiveBoost
LUT色调 LutTint
全局偏移主 GOffsetMaster
侵蚀末端紧密度 ErodeEndsTightness
最大亮度 MaxLum
大小缩放 SizeScale
镜头视差倍增 LensParallaxMult
行列数 RowsColumns
使用粒子生命周期 UseParticleLifetime
噪声平铺 NoiseTile
泥浆覆盖颜色 MudOverlayColor
雾生成衰减 FogGenerationFallOff
底光强度 UnderlightIntensity
灯光类型 LightType
顶部宽度 TopWidth
基础自发光 BaseEmissive
垂直倾斜 VSkew
TAA启用 TaaEnabled
虹膜开始 IriStart
Alpha侵蚀 AlphaErode
全局不透明度 GlobalOpacity
纹理立方体贴图 TexCubemap
采样UI高光立方体贴图 SampUiSpecularCubemap
纹理风向量场 TexWindVectorField
纹理小地图LUT TexMinimapLut
光晕大小 FlareSize
使用法线 UseNormal
生命周期曲线 LifetimeCurve
纹理法线AO粗糙度 TexNormalAoRoughness
锥角颜色指数 ConeAngleColorExponent
滑块硬度 SliderHardness
次表面烟雾颜色 SssSmokeColor
纹理悬崖目标 TexCliffsTarget
内部发光指数 InnerGlowExp
纹理颜色变化MRA TexColorVariationMra
大气饱和度 AtmosphereSaturation
自发光颜色强度 EmissiveColorPower
颜色变化AO混合 ColorVariationAoBlend
菲涅耳反转 FresnelInvert
最大距离 MaxDist
标尺强度 ReticleIntesity
采样黑洞LUT SampBlackHoleLut
圆形遮罩半径 RoundMaskRadius
采样光晕噪声 SampFlareNoise
采样照明数据 SampIlluminateData
闪光颜色 FlashColor
带状顶点数据 RibbonVertexData
噪声菲涅耳边缘 NoiseFresnelRim
R偏移最小 ROffsetMin
纹理生成材质 TexGeneratedMaterials
太阳角大小 SunAngularSize
自发光启用 EmissiveEnabled
边界最大值 BoundingMax
眼睛强度 EyeInt
纹理镜头自发光纹理 TexLensEmissiveTexture
次要颜色变化Alpha通道 SecondaryColorVariationAlphaChannel
环境光遮蔽 Oraocc
采样隐形噪声 SampCloakingNoise
雪基础颜色 SnowBaseColor
六边形DQ Shexdq
相机接近淡出 CameraProximityFade
法线遮罩 NormalMask
最大高光皮下 MaxSpecularSubdermal
采样全局高光贴图 SampGlobalSpecularMap
覆盖高度遮罩最大不透明度 OverlayHeightMaskMaxOpacity
靠近相机收缩 ShrinkNearCamera
AO指数 AoExp
能量扭曲平铺 EnergyDistortionTile
远淡出偏移 FarFadeOffset
采样深度颜色查找 SampDepthColorLookup
纹理泥浆法线灰度 TexMudNormalsGrayscale
基础是数据 BaseIsData
自发光基础 EmissiveBase
下拉选择背景网格亮度减少 DropSelectBackgroundGridLuminanceDecrease
纹理足迹平铺器 TexFootstepTiler
使用颜色色调 UseColortint
